City_ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Viedma,AR,4/12/2022 3:20,-40.8135,-62.9967,11.94,62,36,3.24,scattered clouds
81,Oddur,SO,4/12/2022 3:20,4.1213,43.8894,23.55,83,80,2.95,broken clouds
82,Suntar,RU,4/12/2022 3:20,62.1444,117.6319,-0.96,75,97,1.97,overcast clouds
83,Bluff,NZ,4/12/2022 3:20,-46.6,168.3333,13.22,62,84,10.05,broken clouds
84,Ancud,CL,4/12/2022 3:16,-41.8697,-73.8203,7.9,82,14,2.24,few clouds
85,Bambous Virieux,MU,4/12/2022 3:20,-20.3428,57.7575,25.14,83,75,6.17,broken clouds
86,Lahad Datu,MY,4/12/2022 3:20,5.0268,118.327,30.07,66,39,1.74,scattered clouds
87,Saint George,US,4/12/2022 3:17,37.1041,-113.5841,22.33,21,0,16.98,clear sky
88,Ures,MX,4/12/2022 3:20,29.4333,-110.4,20.83,39,0,3.15,clear sky
89,Buala,SB,4/12/2022 3:20,-8.145,159.5921,29.04,70,87,1.78,light rain
90,Bathsheba,BB,4/12/2022 3:20,13.2167,-59.5167,26.34,73,75,8.23,broken clouds
91,Penalva,BR,4/12/2022 3:20,-3.2942,-45.1736,23.4,98,100,1.19,overcast clouds
92,Sambava,MG,4/12/2022 3:20,-14.2667,50.1667,23.68,85,35,5.38,scattered clouds
93,Port Elizabeth,ZA,4/12/2022 3:20,-33.918,25.5701,19.06,90,0,2.57,clear sky
94,Tiksi,RU,4/12/2022 3:20,71.6872,128.8694,-17.06,88,99,2.4,overcast clouds
95,Barrow,US,4/12/2022 3:20,71.2906,-156.7887,-3.99,80,100,3.6,light snow
96,Buraidah,SA,4/12/2022 3:21,26.326,43.975,25.25,16,73,1.74,broken clouds
97,Iisalmi,FI,4/12/2022 3:21,63.5592,27.1907,-3.05,97,60,1.19,broken clouds
98,Khāsh,IR,4/12/2022 3:21,28.2211,61.2158,21.62,10,2,1.46,clear sky
99,La Ronge,CA,4/12/2022 3:21,55.1001,-105.2842,-8.86,73,75,4.63,broken clouds
100,Saskylakh,RU,4/12/2022 3:21,71.9167,114.0833,-17.46,90,97,0.9,overcast clouds
101,San Quintín,MX,4/12/2022 3:21,30.4833,-115.95,15.45,79,3,6.17,clear sky
102,Lamu,KE,4/12/2022 3:21,-2.2717,40.902,28.12,71,99,5.07,overcast clouds
103,Ilulissat,GL,4/12/2022 3:21,69.2167,-51.1,-3.99,54,100,0.51,overcast clouds
104,Jiujiang,CN,4/12/2022 3:21,29.7333,115.9833,30.58,40,15,2.59,few clouds
105,Fort Saint James,CA,4/12/2022 3:21,54.4333,-124.25,-6.29,52,32,6.87,scattered clouds
106,Nanortalik,GL,4/12/2022 3:21,60.1432,-45.2371,-0.78,73,89,4.5,overcast clouds
107,Aklavik,CA,4/12/2022 3:21,68.2191,-135.0107,-9.81,89,11,3.84,few clouds
108,Bara,NG,4/12/2022 3:21,10.3744,10.7288,30.01,35,82,1.73,broken clouds
109,South Venice,US,4/12/2022 3:21,27.0531,-82.4243,20.4,84,0,2.57,haze
110,Zvishavane,ZW,4/12/2022 3:21,-20.3267,30.0665,16.49,96,83,0.65,broken clouds
111,Cabo San Lucas,MX,4/12/2022 3:21,22.8909,-109.9124,20.89,68,0,1.79,clear sky
